집행번호,집행일자,비목코드,집행금액,증빙번호,증빙ID,참여인력ID,거래처ID,거래처명,상태,적요
N001,2026-01-05,MAT,"100,000",INV-001,EV-N001,,V001,알파소재,정상,센서 기판
N002,2026-03-18,EQUIP,"80,000",INV-002,EV-N002,,V002,장비솔루션,정상,측정기
N003,2026-04-02,MAT,"90,000",INV-003,EV-N003,,V003,한국테크,정상,측정 모듈
X001,2026-08-02,MAT,"10,000",INV-X001,EV-X001,,V001,알파소재,정상,협약기간 이후 집행
X002,2026-06-20,MAT,"20,000",INV-001,EV-X002,,V004,델타상사,정상,증빙번호 중복
X003,2026-06-22,MAT,"30,000",INV-X003,,,V004,델타상사,정상,증빙 ID 공란
X004,2026-06-23,ACT,"40,000",INV-X004,EV-NOT-FOUND,,V005,시험분석센터,정상,목록에 없는 증빙
X005,2026-06-24,MISC,"60,000",INV-X005,EV-X005,,V006,기술정보원,정상,예산표에 없는 비목
X006,2026-06-25,EQUIP,"30,000",INV-X006,EV-X006,,V002,장비솔루션,정상,장비비 누적예산 초과
X007,2026-06-26,LAB,"250,000",PAY-X007,EV-X007,P999,PAYROLL,급여,정상,명단에 없는 참여인력
X008,2026-06-27,MAT,"75,000",INV-X008,EV-X008,,V003,한국 테크,정상,같은 거래처의 다른 표기
E001,2026-01-01,MAT,"50,000",EDGE-001,EV-E001,,V001,알파소재,정상,협약 시작일 당일
E002,2026-07-31,MAT,"50,000",EDGE-002,EV-E002,,V004,델타상사,정상,협약 종료일 당일
E003,2026-01-10,MAT,"-100,000",INV-001,EV-E003,,V001,알파소재,취소,취소거래는 중복과 누적에서 제외
